title,type,description,release_year,runtime,genres,imdb_score,tmdb_popularity,service
Scarlet Street,MOVIE,"Cashier and part-time starving artist Christopher Cross is absolutely smitten with the beautiful Kitty March. Kitty plays along, but she's really only interested in Johnny, a two-bit crook. When Kitty and Johnny find out that art dealers are interested in Chris's work, they con him into letting Kitty take credit for the paintings. Cross allows it because he is in love with Kitty, but his love will only let her get away with so much.",1945,103,"['thriller', 'drama']",7.8,8.003,Paramount
Made for Each Other,MOVIE,A couple struggle to find happiness after a whirlwind courtship.,1939,92,"['comedy', 'drama', 'romance']",6.3,6.242,Paramount
The Thief of Bagdad,MOVIE,A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.,1924,149,"['romance', 'family', 'fantasy']",7.7,7.166,Paramount
D.O.A.,MOVIE,"Frank Bigelow is about to die, and he knows it. The accountant has been poisoned and has only 24 hours before the lethal concoction kills him. Determined to find out who his murderer is, Frank, with the help of his assistant and girlfriend, Paula, begins to trace back over his last steps. As he frantically tries to unravel the mystery behind his own impending demise, his sleuthing leads him to a group of crooked businessmen and another murder.",1950,83,"['crime', 'comedy', 'thriller', 'drama']",7.2,7.932,Paramount
Jungle Book,MOVIE,"Rudyard Kipling's Jungle Book is given the full treatment in this lavish retelling filled with huge sets, exotic animals, a large cast and the incomparable Sabu, starring as Mowgli, the young orphan boy raised by wolves. Curious to reconnect with his human village, Mowgli returns only to find disappointment in the greed and treachery of man. Over time, Mowgli and the village members do grow to trust one another, but not before the village finds itself under siege. It's up to Mowgli and his jungle friends to save the day.",1942,106,"['fantasy', 'family', 'action']",6.7,6.515,Paramount
Love Affair,MOVIE,"French playboy Michel Marnet and American Terry McKay fall in love during the transatlantic passage of a ship. They arrange to reunite six months later, if neither has changed their mind.",1939,88,"['romance', 'drama', 'comedy']",7.3,4.028,Paramount
Of Human Bondage,MOVIE,"Club-footed medical school student Philip Carey falls in love with cynical waitress Mildred Rogers. She rejects him and runs off with a salesman, later returning pregnant and unmarried. Philip takes her in, though ""happily ever after"" is not to be.",1934,83,"['drama', 'romance']",7.0,5.776,Paramount
Our Town,MOVIE,"Change comes slowly to a small New Hampshire town in the early 20th century. We see birth, life and death in this small community.",1940,90,"['romance', 'drama', 'family']",6.5,2.847,Paramount
The Little Princess,MOVIE,The classic Shirley Temple film in which a little girl goes in search of her father who is reported missing by the military during the Second Boer War.,1939,93,"['comedy', 'drama', 'family']",7.1,6.148,Paramount
The Jackie Robinson Story,MOVIE,"Biography of Jackie Robinson, the first black major league baseball player in the 20th century. Traces his career in the negro leagues and the major leagues.",1950,76,"['drama', 'sport']",6.3,1.957,Paramount
The Strange Love of Martha Ivers,MOVIE,"Three childhood friends, Martha, Walter and Sam, share a terrible secret. Over time, the ambitious Martha and the pusillanimous Walter have married. She is a cold businesswoman; he is the district attorney: a perfect combination to dominate the corrupt city of Iverstown at will. But the unexpected return of Sam, after years of absence, deeply disturbs the life of the odd couple.",1946,115,"['thriller', 'romance', 'drama']",7.4,9.703,Paramount
Lady Windermere's Fan,MOVIE,"A society woman believes her husband is having an affair, a misconception which may have dire personal consequences for all involved.",1925,120,['comedy'],7.2,2.313,Paramount
Meet John Doe,MOVIE,"As a parting shot, fired reporter Ann Mitchell prints a fake letter from unemployed ""John Doe,"" who threatens suicide in protest of social ills. The paper is forced to rehire Ann and hires John Willoughby to impersonate ""Doe."" Ann and her bosses cynically milk the story for all it's worth, until the made-up ""John Doe"" philosophy starts a whole political movement.",1941,122,"['romance', 'comedy', 'drama']",7.6,8.574,Paramount
The Outlaw,MOVIE,"Newly appointed sheriff Pat Garrett is pleased when his old friend Doc Holliday arrives in Lincoln, New Mexico on the stage. Doc is trailing his stolen horse, and it is discovered in the possession of Billy the Kid. In a surprising turnaround, Billy and Doc become friends. This causes the friendship between Doc and Pat to cool. The odd relationship between Doc and Billy grows stranger when Doc hides Billy at his girl Rio's place after Billy is shot.",1943,116,['western'],,7.503,Paramount
The Front Page,MOVIE,"Hildy Johnson is an investigative reporter is looking for a bigger paycheck. When an accused murderer escapes from custody, Hildy sees an opportunity for the story of a lifetime. But when he finds the criminal, he learns that the man may not be guilty. With the help of his editor, Hildy attempts to hide the convict, uncover the conspiracy and write the scoop of his career.",1931,101,"['comedy', 'drama', 'thriller', 'crime', 'romance']",6.2,5.403,Paramount
White Zombie,MOVIE,"In Haiti, a wealthy landowner convinces a sorcerer to lure the American woman he has fallen for away from her fiance, only to have the madman decide to keep the woman for himself, as a zombie.",1932,67,['horror'],6.3,6.822,Paramount
