title,type,description,release_year,runtime,genres,imdb_score,tmdb_popularity,service
Garfunkel and Oates,SHOW,"The comic/folk duo Riki Lindhome and Kate Micucci hit prime time with their act in this scripted series for IFC. It follows hard-working underdogs trying to make their mark in comedy while muddling through messy dating scenarios, and doing so by performing one satirical (and often quite saucy) song after another. Nothing stops the ukulele- and guitar-wielding twosome from singing about life's unspoken truths, despite it leaving them detached from their peers. The series is titled after Lindhome and Micucci's band name, inspired by ""two famous rock 'n' roll second bananas,"" Art Garfunkel and John Oates.",2014,11,"['comedy', 'music']",7.5,6.581,HBO Max
Justice League: The Flashpoint Paradox,MOVIE,The Flash finds himself in a war-torn alternate timeline and teams up with alternate versions of his fellow heroes to restore the timeline.,2013,75,"['animation', 'action']",,32.508,HBO Max
Snitch,MOVIE,"Construction company owner John Matthews learns that his estranged son, Jason, has been arrested for drug trafficking. Facing an unjust prison sentence for a first time offender courtesy of mandatory minimum sentence laws, Jason has nothing to offer for leniency in good conscience. Desperately, John convinces the DEA and the opportunistic DA Joanne Keeghan to let him go undercover to help make arrests big enough to free his son in return. With the unwitting help of an ex-con employee, John enters the narcotics underworld where every move could be his last in an operation that will demand all his resources, wits and courage to survive.",2013,93,"['drama', 'thriller', 'action']",6.4,18.056,HBO Max
The Carbonaro Effect,SHOW,"Michael Carbonaro is a magician by trade, but a prankster by heart. Michael performs baffling tricks on unsuspecting people in everyday situations, all caught on hidden camera. Everyone is left stunned and delighted, even though they have no idea what just hit them.",2014,22,['comedy'],7.5,3.72,HBO Max
Black Jesus,SHOW,"A TV series finds Jesus living in present day Compton, CA on a daily mission to spread love and kindness throughout the neighborhood with the help of his small but loyal group of downtrodden followers.",2014,21,['comedy'],6.9,8.195,HBO Max
Family Tree,SHOW,"Having recently lost his job and his girlfriend, 30-year-old Tom Chadwick has a rather unsure sense of his own identity. But when he inherits a mysterious box of belongings from a great aunt he never met, Tom starts investigating his lineage and uncovers a whole world of unusual stories and characters, acquiring a growing sense of who he and his real family are.",2013,22,['comedy'],7.3,3.278,HBO Max
Runner Runner,MOVIE,"When a poor college student who cracks an online poker game goes bust, he arranges a face-to-face with the man he thinks cheated him, a sly offshore entrepreneur.",2013,92,"['drama', 'crime', 'thriller']",5.6,10.744,HBO Max
Blood Ties,MOVIE,"Two brothers, on either side of the law, face off over organized crime in Brooklyn during the 1970s.",2013,128,"['thriller', 'action', 'crime', 'drama', 'european']",6.5,17.684,HBO Max
Clarence,SHOW,"The adventures of a young boy named Clarence, who is optimistic about everything, and his two best friends Jeff and Sumo.",2014,14,"['comedy', 'animation', 'family']",6.7,52.252,HBO Max
I Give It a Year,MOVIE,"After a quick courtship, two lovers hastily decide to tie the knot. As their first year of marriage unfolds, temptation and incompatibility put their relationship in jeopardy.",2013,97,"['romance', 'comedy', 'european']",5.7,16.488,HBO Max
