title,type,description,release_year,runtime,genres,imdb_score,tmdb_popularity,service
The Wizard of Oz,MOVIE,"Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.",1939,102,"['fantasy', 'family']",8.1,41.442,HBO Max
Citizen Kane,MOVIE,"Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.",1941,119,['drama'],8.3,14.383,HBO Max
Casablanca,MOVIE,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",1942,102,"['drama', 'romance', 'war']",8.5,20.087,HBO Max
The Big Sleep,MOVIE,"Private Investigator Philip Marlowe is hired by wealthy General Sternwood regarding a matter involving his youngest daughter Carmen. Before the complex case is over, Marlowe sees murder, blackmail, deception, and what might be love.",1946,116,"['thriller', 'crime']",7.9,12.911,HBO Max
The Maltese Falcon,MOVIE,"A private detective takes on a case that involves him with three eccentric criminals, a beautiful liar, and their quest for a priceless statuette.",1941,100,"['thriller', 'romance', 'crime']",8.0,12.788,HBO Max
Gone with the Wind,MOVIE,"The spoiled daughter of a well-to-do plantation owner is forced to use every means at her disposal to claw her way out of poverty, following Maj. Gen. William Sherman's destructive ""March to the Sea,” during the American Civil War.",1939,233,"['war', 'romance', 'drama', 'history']",8.2,24.092,HBO Max
Tom and Jerry,SHOW,"Tom and Jerry is an American animated franchise and series of comedy short films created in 1940 by William Hanna and Joseph Barbera. Best known for its 161 theatrical short films by Metro-Goldwyn-Mayer, the series centers on a friendship/rivalry (a love-hate relationship) between the title characters Tom, a cat, and Jerry, a mouse. Many shorts also feature several recurring characters.",1940,8,"['animation', 'comedy', 'family', 'action']",7.7,1.4,HBO Max
The Treasure of the Sierra Madre,MOVIE,"Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster.",1948,126,"['western', 'drama']",8.2,14.006,HBO Max
The Asphalt Jungle,MOVIE,"Recently paroled from prison, legendary burglar ""Doc"" Riedenschneider, with funding from Alonzo Emmerich, a crooked lawyer, gathers a small group of veteran criminals together in the Midwest for a big jewel heist.",1950,112,"['drama', 'thriller', 'crime']",7.8,9.809,HBO Max
The Philadelphia Story,MOVIE,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself. Remade as a musical in 1956 as High Society.",1940,113,"['romance', 'comedy']",7.9,11.587,HBO Max
Rashomon,MOVIE,"Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife.",1950,88,"['drama', 'crime']",8.2,11.33,HBO Max
The Red Shoes,MOVIE,"In this classic drama, Vicky Page is an aspiring ballerina torn between her dedication to dance and her desire to love. While her imperious instructor, Boris Lermontov, urges to her to forget anything but ballet, Vicky begins to fall for the charming young composer Julian Craster. Eventually Vicky, under great emotional stress, must choose to pursue either her art or her romance, a decision that carries serious consequences.",1948,133,"['romance', 'drama', 'music']",8.1,9.378,HBO Max
Stagecoach,MOVIE,"A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo, and learn something about each other in the process.",1939,96,"['western', 'drama']",7.8,11.786,HBO Max
M,MOVIE,"In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.",1931,117,"['thriller', 'european', 'crime']",8.3,9.165,HBO Max
Freaks,MOVIE,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",1932,62,"['drama', 'horror']",7.9,8.294,HBO Max
The Great Dictator,MOVIE,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,1940,125,"['comedy', 'war', 'drama']",8.4,15.335,HBO Max
The 39 Steps,MOVIE,"Richard Hanney has a rude awakening when a glamorous female spy falls into his bed -- with a knife in her back. Having a bit of trouble explaining it all to Scotland Yard, he heads for the hills of Scotland to try to clear his name by locating the spy ring known as ""The 39 Steps.""",1935,86,"['thriller', 'crime']",7.6,10.794,HBO Max
The Lady Vanishes,MOVIE,"On a train headed for England a group of travelers is delayed by an avalanche. Holed up in a hotel in a fictional European country, young Iris befriends elderly Miss Froy. When the train resumes, Iris suffers a bout of unconsciousness and wakes to find the old woman has disappeared. The other passengers ominously deny Miss Froy ever existed, so Iris begins to investigate with another traveler and, as the pair sleuth, romantic sparks fly.",1938,96,['thriller'],7.8,9.64,HBO Max
Bicycle Thieves,MOVIE,A working man's livelihood is threatened when someone steals his bicycle.,1948,88,"['drama', 'european']",8.3,12.024,HBO Max
The Passion of Joan of Arc,MOVIE,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.",1928,110,"['drama', 'european', 'history']",8.2,11.213,HBO Max
City Lights,MOVIE,"In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.",1931,87,"['romance', 'drama', 'comedy']",8.5,13.647,HBO Max
Häxan,MOVIE,"Grave robbing, torture, possessed nuns, and a satanic Sabbath: Benjamin Christensen's legendary film uses a series of dramatic vignettes to explore the scientific hypothesis that the witches of the Middle Ages suffered the same hysteria as turn-of-the-century psychiatric patients. But the film itself is far from serious-- instead it's a witches' brew of the scary, gross, and darkly humorous.",1922,105,"['horror', 'european', 'documentation', 'fantasy', 'history']",7.6,6.312,HBO Max
King Kong,MOVIE,"Adventurous filmmaker, Carl Denham, sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to displayed on Broadway as Kong, the eighth wonder of the world.",1933,104,"['fantasy', 'horror', 'scifi']",7.9,17.542,HBO Max
Black Narcissus,MOVIE,"A group of Anglican nuns, led by Sister Clodagh, are sent to a mountain in the Himalayas. The climate in the region is hostile and the nuns are housed in an odd old palace. They work to establish a school and a hospital, but slowly their focus shifts. Sister Ruth falls for a government worker, Mr. Dean, and begins to question her vow of celibacy. As Sister Ruth obsesses over Mr. Dean, Sister Clodagh becomes immersed in her own memories of love.",1947,101,['drama'],7.8,6.685,HBO Max
To Be or Not to Be,MOVIE,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",1942,99,"['comedy', 'european', 'romance', 'war']",8.2,10.077,HBO Max
Great Expectations,MOVIE,"In this Dickens adaptation, orphan Pip discovers through lawyer Mr. Jaggers that a mysterious benefactor wishes to ensure that he becomes a gentleman. Reunited with his childhood patron, Miss Havisham, and his first love, the beautiful but emotionally cold Estella, he discovers that the elderly spinster has gone mad from having been left at the altar as a young woman, and has made her charge into a warped, unfeeling heartbreaker.",1946,118,"['romance', 'drama']",7.8,10.109,HBO Max
Modern Times,MOVIE,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1936,87,"['drama', 'comedy', 'romance', 'family']",8.5,14.155,HBO Max
The Life and Death of Colonel Blimp,MOVIE,"General Candy, who's overseeing an English squad in 1943, is a veteran leader who doesn't have the respect of the men he's training and is considered out-of-touch with what's needed to win the war. But it wasn't always this way. Flashing back to his early career in the Boer War and World War I, we see a dashing young officer whose life has been shaped by three different women, and by a lasting friendship with a German soldier.",1943,163,"['drama', 'romance', 'war']",8.1,7.313,HBO Max
Brief Encounter,MOVIE,"Returning home from a shopping trip to a nearby town, bored suburban housewife Laura Jesson is thrown by happenstance into an acquaintance with virtuous doctor Alec Harvey. Their casual friendship soon develops during their weekly visits into something more emotionally fulfilling than either expected, and they must wrestle with the potential havoc their deepening relationship would have on their lives and the lives of those they love.",1945,86,"['drama', 'romance']",8.0,8.767,HBO Max
42nd Street,MOVIE,"A producer puts on what may be his last Broadway show, and at the last moment a chorus girl has to replace the star.",1933,89,"['comedy', 'romance', 'drama']",7.3,7.811,HBO Max
"Now, Voyager",MOVIE,A woman suffers a nervous breakdown and an oppressive mother before being freed by the love of a man she meets on a cruise.,1942,117,"['drama', 'romance']",7.9,7.066,HBO Max
The Public Enemy,MOVIE,"Two young Chicago hoodlums, Tom Powers and Matt Doyle, rise up from their poverty-stricken slum life to become petty thieves, bootleggers and cold-blooded killers. But with street notoriety and newfound wealth, the duo feels the heat from the cops and rival gangsters both. Despite his ruthless criminal reputation, Tom tries to remain connected to his family, however, gang warfare and the need for revenge eventually pull him away.",1931,84,"['crime', 'drama']",7.6,9.219,HBO Max
The Most Dangerous Game,MOVIE,"When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.",1932,63,"['thriller', 'horror', 'action']",7.1,8.828,HBO Max
Vampyr,MOVIE,"Traveler Allan Gray arrives in the village of Courtempierre and takes lodgings in a small inn. Gray has a great interest in the supernatural, particularly vampires. He's barely settled in when he feels a sinister force descending upon him. In the night an old man enters his room to tell him 'she must not die'. One of the old man's daughters, Leone, has been bitten by a vampire. In order to break the curse, Gray and Leone's sister Gisele must find the original vampire and drive a stake through her heart.",1932,74,"['horror', 'fantasy', 'european']",7.4,7.782,HBO Max
Late Spring,MOVIE,"Noriko is perfectly happy living at home with her widowed father, Shukichi, and has no plans to marry -- that is, until her aunt Masa convinces Shukichi that unless he marries off his 27-year-old daughter soon, she will likely remain alone for the rest of her life. When Noriko resists Masa's matchmaking, Shukichi is forced to deceive his daughter and sacrifice his own happiness to do what he believes is right.",1949,110,['drama'],8.2,8.559,HBO Max
Adam's Rib,MOVIE,"When a woman attempts to kill her uncaring husband, prosecutor Adam Bonner gets the case. Unfortunately for him his wife Amanda (who happens to be a lawyer too) decides to defend the woman in court. Amanda uses everything she can to win the case and Adam gets mad about it. As a result, their perfect marriage is disturbed by everyday quarrels.",1949,100,"['romance', 'drama', 'comedy']",7.5,7.921,HBO Max
The Man Who Knew Too Much,MOVIE,"While vacationing in St. Moritz, a British couple receive a clue to an imminent assassination attempt, only to learn that their young daughter has been kidnapped to keep them quiet.",1934,76,"['drama', 'thriller', 'crime']",6.8,8.614,HBO Max
Hamlet,MOVIE,"Winner of four Academy Awards, including Best Picture and Best Actor, Sir Laurence Olivier’s Hamlet continues to be the most compelling version of Shakespeare’s beloved tragedy. Olivier is at his most inspired—both as director and as the melancholy Dane himself—as he breathes new life into the words of one of the world’s greatest dramatists.",1948,155,['drama'],7.6,9.373,HBO Max
"Rome, Open City",MOVIE,A realistic portrayal of the underground resistance in Italy in 1945. The film has strong impacting imagery with its mix of fiction and reality that strengthened Italian Neo-realism and the film industry.,1945,103,"['drama', 'european', 'war', 'thriller']",8.0,7.009,HBO Max
The Letter,MOVIE,"After a woman shoots a man to death, a damning letter she wrote raises suspicions.",1940,95,"['drama', 'romance', 'crime']",7.6,10.791,HBO Max
Mutiny on the Bounty,MOVIE,"Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However, Bligh returns one year later, hell bent on avenging his captors.",1935,132,"['drama', 'history', 'romance']",7.7,7.728,HBO Max
Sergeant York,MOVIE,Alvin York a hillbilly sharpshooter transforms himself from ruffian to religious pacifist. He is then called to serve his country and despite deep religious and moral objections to fighting becomes one of the most celebrated American heroes of WWI.,1941,134,"['romance', 'drama', 'history', 'war']",7.7,7.743,HBO Max
Safety Last!,MOVIE,"When a store clerk organizes a contest to climb the outside of a tall building, circumstances force him to make the perilous climb himself.",1923,74,"['action', 'romance', 'comedy', 'thriller']",8.1,8.17,HBO Max
Battleship Potemkin,MOVIE,"A dramatized account of a great Russian naval mutiny and a resultant public demonstration, showing support, which brought on a police massacre. The film had an incredible impact on the development of cinema and is a masterful example of montage editing.",1925,75,"['drama', 'history', 'thriller', 'war']",8.0,11.275,HBO Max
The Gay Divorcee,MOVIE,"Seeking a divorce from her absentee husband, Mimi Glossop travels to an English seaside resort. There she falls in love with dancer Guy Holden, whom she later mistakes for the corespondent her lawyer hired.",1934,107,"['comedy', 'romance']",7.4,5.447,HBO Max
Sabotage,MOVIE,Karl Anton Verloc and his wife own a small cinema in a quiet London suburb where they live seemingly happily. But Mrs. Verloc does not know that her husband has a secret that will affect their relationship and threaten her teenage brother's life.,1937,77,"['drama', 'thriller', 'crime']",7.0,7.489,HBO Max
The Gold Rush,MOVIE,"A lone prospector ventures into Alaska looking for gold. He soon gets mixed up with some burly characters, falls in love with the beautiful Georgia, and tries to win her heart with his singular charm.",1925,89,"['comedy', 'drama', 'western', 'family']",8.2,11.285,HBO Max
The Kid,MOVIE,A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.,1921,53,"['drama', 'comedy', 'family']",8.3,12.692,HBO Max
Beauty and the Beast,MOVIE,"The story of a gentle-hearted beast in love with a simple and beautiful girl. She is drawn to the repellent but strangely fascinating Beast, who tests her fidelity by giving her a key, telling her that if she doesn't return it to him by a specific time, he will die of grief. She is unable to return the key on time, but it is revealed that the Beast is the genuinely handsome one. A simple tale of tragic love that turns into a surreal vision of death, desire, and beauty.",1946,96,"['fantasy', 'european', 'romance', 'drama']",7.9,10.221,HBO Max
Foreign Correspondent,MOVIE,"The European war was only beginning to erupt across national borders. Johnny Jones, an American crime reporter dispatched by his New York publisher to put a fresh spin on the drowsy dispatches emanating from overseas, has a nose for a good story—which promptly leads him to the crime of fascism and Nazi Germany's designs on European conquest. In attempting to learn more about a seemingly noble peace effort, Jones walks into the middle of an assassination, uncovers a spy ring and—not entirely coincidentally—falls in love.",1940,120,"['action', 'thriller', 'war', 'romance']",7.5,9.977,HBO Max
The Lodger: A Story of the London Fog,MOVIE,"London. A mysterious serial killer brutally murders young blond women by stalking them in the night fog. One foggy, sinister night, a young man who claims his name is Jonathan Drew arrives at the guest house run by the Bunting family and rents a room.",1927,91,"['drama', 'thriller', 'crime']",7.3,10.486,HBO Max
A Trip to the Moon,MOVIE,"Professor Barbenfouillis and five of his colleagues from the Academy of Astronomy travel to the Moon aboard a rocket propelled by a giant cannon. Once on the lunar surface, the bold explorers face the many perils hidden in the caves of the mysterious planet.",1902,15,"['scifi', 'fantasy', 'european']",,13.032,HBO Max
The Thief of Bagdad,MOVIE,"When Prince Ahmad is blinded and cast out of Bagdad by the nefarious Jaffar, he joins forces with the scrappy thief Abu to win back his royal place, as well as the heart of a beautiful princess.",1940,106,"['fantasy', 'family', 'romance']",7.4,12.855,HBO Max
Captains Courageous,MOVIE,"Harvey, the arrogant and spoiled son of an indulgent absentee-father, falls overboard from a transatlantic steamship and is rescued by a fishing vessel on the Grand Banks. Harvey fails to persuade them to take him ashore, nor convince the crew of his wealth. The captain offers him a low-paid job, until they return to port, as part of the crew that turns him into a mature, considerate young man.",1937,115,"['drama', 'family']",8.0,6.498,HBO Max
The Testament of Dr. Mabuse,MOVIE,"After a detective is assaulted by thugs and placed in an asylum run by Professor Baum, he observes the professor's preoccupation with another patient, the criminal genius Dr. Mabuse the hypnotist. When Mabuse's notes are found to be connected with a rash of recent crimes, Commissioner Lohmann must determine how Mabuse is communicating with the criminals, despite conflicting reports on the doctor's whereabouts, and capture him for good.",1933,122,"['crime', 'thriller', 'european', 'horror']",8.0,6.367,HBO Max
Jezebel,MOVIE,"In 1850s Louisiana, the willfulness of a tempestuous Southern belle threatens to destroy all who care for her.",1938,103,"['drama', 'romance']",7.4,8.648,HBO Max
Odd Man Out,MOVIE,Belfast police conduct a door-to-door manhunt for an IRA gunman wounded in a daring robbery.,1947,116,"['drama', 'thriller', 'crime']",7.7,5.943,HBO Max
Oliver Twist,MOVIE,"When 9-year-old orphan Oliver Twist dares to ask his cruel taskmaster, Mr. Bumble, for a second serving of gruel, he's hired out as an apprentice. Escaping that dismal fate, young Oliver falls in with the street urchin known as the Artful Dodger and his criminal mentor, Fagin. When kindly Mr. Brownlow takes Oliver in, Fagin's evil henchman Bill Sikes plots to kidnap the boy.",1948,116,['drama'],7.8,9.52,HBO Max
The Naked City,MOVIE,"The Naked City portrays the police investigation that follows the murder of a young model. A veteran cop is placed in charge of the case and he sets about, with the help of other beat cops and detectives, finding the girl's killer.",1948,96,"['crime', 'thriller', 'drama']",7.6,7.218,HBO Max
Jungle Book,MOVIE,"Rudyard Kipling's Jungle Book is given the full treatment in this lavish retelling filled with huge sets, exotic animals, a large cast and the incomparable Sabu, starring as Mowgli, the young orphan boy raised by wolves. Curious to reconnect with his human village, Mowgli returns only to find disappointment in the greed and treachery of man. Over time, Mowgli and the village members do grow to trust one another, but not before the village finds itself under siege. It's up to Mowgli and his jungle friends to save the day.",1942,106,"['fantasy', 'family', 'action']",6.7,6.515,HBO Max
Henry V,MOVIE,"In the midst of the Hundred Years' War, the young King Henry V of England embarks on the conquest of France in 1415.",1944,137,"['drama', 'history', 'war']",7.0,4.991,HBO Max
Libeled Lady,MOVIE,"When a major newspaper accuses wealthy socialite Connie Allenbury of being a home-wrecker, and she files a multi-million-dollar libel lawsuit, the publication's frazzled head editor, Warren Haggerty, must find a way to turn the tables on her. Soon Haggerty's harried fiancée, Gladys Benton, and his dashing friend Bill Chandler are in on a scheme that aims to discredit Connie, with amusing and unexpected results.",1936,98,"['comedy', 'romance']",7.8,8.124,HBO Max
Show Boat,MOVIE,"Despite her mother's objections, the naive young daughter of a show boat captain is thrust into the limelight as the company's new leading lady.",1936,113,"['comedy', 'drama', 'music', 'romance']",7.4,3.057,HBO Max
Blithe Spirit,MOVIE,"An English mystery novelist invites a medium to his home, so she may conduct a séance for a small gathering. The writer hopes to gather enough material for the book he's working on, as well as to expose the medium as a charlatan. However, proceedings take an unexpected turn, resulting in a chain of supernatural events being set into motion that wreak havoc on the man's present marriage.",1945,96,"['comedy', 'fantasy']",7.1,6.622,HBO Max
National Velvet,MOVIE,"Mi Taylor is a young wanderer and opportunist who finds himself in the quiet English countryside home of the Brown family. The youngest daughter, Velvet, has a passion for horses and when she wins the spirited steed Pie in a town lottery, Mi is encouraged to train the horse.",1945,123,"['drama', 'family', 'sport']",7.3,5.42,HBO Max
Pygmalion,MOVIE,"When linguistics professor Henry Higgins boasts that he can pass off Cockney flower girl Eliza Doolittle as a princess with only six months' training, Colonel George Pickering takes him up on the bet. Eliza moves into Higgins's home and begins her rigorous training after the professor comes to a financial agreement with her dustman father, Alfred. But the plucky young woman is not the only one undergoing a transformation.",1939,96,"['comedy', 'drama', 'romance']",7.8,5.805,HBO Max
In Which We Serve,MOVIE,"The story of the HMS Torrin, from it's construction to its sinking in the Mediterranean during action in World War II. The ship's first and only commanding officer is Captain E.V. Kinross, who trains his men not only to be loyal to him and the country, but—most importantly—to themselves.",1942,115,"['drama', 'war']",7.2,5.829,HBO Max
Shall We Dance,MOVIE,"Ballet star Petrov arranges to cross the Atlantic aboard the same ship as the dancer and musical star he's fallen for but barely knows. By the time the ocean liner reaches New York, a little white lie has churned through the rumour mill and turned into a hot gossip item—that the two celebrities are secretly married.",1937,109,"['comedy', 'music', 'romance']",7.5,6.988,HBO Max
Take Me Out to the Ball Game,MOVIE,"The Wolves baseball team gets steamed when they find they've been inherited by one K.C. Higgins, a suspected ""fathead"" who intends to take an active interest in running the team. But K.C. turns outs to be a beautiful woman who really knows her baseball. Second baseman Dennis Ryan promptly falls in love. But his playboy roommate Eddie O'Brien has his own notions about how to treat the new lady owner and some unsavory gamblers have their own ideas about how to handle Eddie.",1949,93,"['romance', 'sport', 'comedy']",6.7,3.637,HBO Max
Pride and Prejudice,MOVIE,"Mr. and Mrs. Bennet have five unmarried daughters, and Mrs. Bennet is especially eager to find suitable husbands for them. When the rich single gentlemen Mr. Bingley and Mr. Darcy come to live nearby, the Bennets have high hopes. But pride, prejudice and misunderstandings all combine to complicate their relationships and to make happiness difficult.",1940,118,"['romance', 'drama']",7.4,9.372,HBO Max
Miracle on 34th Street,MOVIE,"Kris Kringle, seemingly the embodiment of Santa Claus, is asked to portray the jolly old fellow at Macy's following his performance in the Thanksgiving Day parade. His portrayal is so complete that many begin to question if he truly is Santa Claus, while others question his sanity.",1947,96,"['comedy', 'drama', 'family']",7.9,15.211,HBO Max
She Wore a Yellow Ribbon,MOVIE,"After Custer and the 7th Cavalry are wiped out by Indians, everyone expects the worst. Capt. Nathan Brittles is ordered out on patrol but he's also required to take along Abby Allshard, wife of the Fort's commanding officer, and her niece, the pretty Olivia Dandridge, who are being evacuated for their own safety. Brittles is only a few days away from retirement and Olivia has caught the eye of two of the young officers in the Company, Lt. Flint Cohill and 2nd Lt. Ross Pennell. She's taken to wearing a yellow ribbon in her hair, a sign that she has a beau in the Cavalry, but refuses to say for whom she is wearing it.",1949,103,['western'],7.2,7.823,HBO Max
The Front Page,MOVIE,"Hildy Johnson is an investigative reporter is looking for a bigger paycheck. When an accused murderer escapes from custody, Hildy sees an opportunity for the story of a lifetime. But when he finds the criminal, he learns that the man may not be guilty. With the help of his editor, Hildy attempts to hide the convict, uncover the conspiracy and write the scoop of his career.",1931,101,"['comedy', 'drama', 'thriller', 'crime', 'romance']",6.2,5.403,HBO Max
Downhill,MOVIE,"Roddy, first son of the rich Berwick family, is expelled from school when he takes the blame for his friend Tim's charge. His family sends him away and all of his friends leave him alone. Through many life choices that don't work out in his favor, Roddy begins to find his life slowly spiraling out of his control.",1927,110,"['drama', 'thriller']",6.0,4.864,HBO Max
Orpheus,MOVIE,"At the Café des Poètes in Paris, a fight breaks out between the poet Orphée and a group of resentful upstarts. A rival poet, Cègeste, is killed, and a mysterious princess insists on taking Orpheus and the body away in her Rolls-Royce. Orphée soon finds himself in the underworld, where the Princess announces that she is, in fact, Death. Orpheus escapes in the car back to the land of the living, only to become obsessed with the car radio.  This film is the central part of Cocteau's Orphic Trilogy, which consists of The Blood of a Poet (1930), Orpheus (1950) and Testament of Orpheus (1960).",1950,95,"['fantasy', 'drama', 'romance', 'european']",7.9,6.624,HBO Max
That Hamilton Woman,MOVIE,"The story of courtesan and dance-hall girl Emma Hamilton, including her relationships with Sir William Hamilton and Admiral Horatio Nelson and her rise and fall, set during the Napoleonic Wars.",1941,128,"['drama', 'history', 'romance', 'war']",7.2,5.625,HBO Max
Of Mice and Men,MOVIE,An intellectually disabled giant and his level headed guardian find work at a sadistic cowboy's ranch in depression era America.,1939,106,['drama'],7.9,4.763,HBO Max
49th Parallel,MOVIE,"In the early days of World War II, a German U-boat is sunk in Canada's Hudson Bay. Hoping to evade capture, a small band of German soldiers led by commanding officer Lieutenant Hirth attempts to cross the border into the United States, which has not yet entered the war and is officially neutral. Along the way, the German soldiers encounter brave men such as a French-Canadian fur trapper, Johnnie, a leader of a Hutterite farming community, Peter, an author, Philip and a soldier, Andy Brock.",1941,123,"['thriller', 'war', 'drama']",7.3,8.475,HBO Max
The Circus,MOVIE,"Charlie, a wandering tramp, becomes a circus handyman - soon the star of the show - and falls in love with the circus owner's stepdaughter.",1928,72,"['comedy', 'family', 'romance', 'european']",8.1,8.944,HBO Max
Dragnet Girl,MOVIE,A gangster tries to find redemption with the inadvertent help of an innocent shop girl and his jealous girlfriend will do anything to keep him.,1933,100,"['romance', 'crime', 'drama']",7.0,2.672,HBO Max
The Private Life of Henry VIII,MOVIE,"Renowned for his excess, King Henry VIII goes through a series of wives during his rule. With Anne Boleyn, his second wife, executed on charges of treason, King Henry weds maid Jane Seymour, but that marriage also ends in tragedy. Not one to be single for long, the king picks German-born Anne of Cleves as his bride, but their union lasts only months before an annulment is granted, and King Henry continues his string of spouses.",1933,90,"['history', 'comedy', 'drama', 'romance']",7.0,5.268,HBO Max
The Flowers of St. Francis,MOVIE,"In a series of simple and joyous vignettes, director Roberto Rossellini and co-writer Federico Fellini lovingly convey the universal teachings of the People’s Saint: humility, compassion, faith, and sacrifice. Gorgeously photographed to evoke the medieval paintings of Saint Francis’s time, and cast with monks from the Nocera Inferiore Monastery, The Flowers of St. Francis is a timeless and moving portrait of the search for spiritual enlightenment.",1950,87,"['drama', 'comedy', 'european', 'history']",7.3,3.437,HBO Max
The Scarlet Pimpernel,MOVIE,"18th century English aristocrat Sir Percy Blakeney leads a double life. He appears to be merely the effete aristocrat, but in reality is part of an underground effort to free French nobles from Robespierre's Reign of Terror.",1934,97,['drama'],7.4,6.076,HBO Max
Brute Force,MOVIE,"Timeworn Joe Collins and his fellow inmates live under the heavy thumb of the sadistic, power-tripping guard Captain Munsey. Only Collins' dreams of escape keep him going, but how can he possibly bust out of Munsey's chains?",1947,98,"['thriller', 'crime', 'drama']",7.6,7.322,HBO Max
Pépé le Moko,MOVIE,"Pépé le Moko, one of France's most wanted criminals, hides out in the Casbah section of Algiers. He knows police will be waiting for him if he tries to leave the city. When Pépé meets Gaby, a gorgeous woman from Paris who is lost in the Casbah, he falls for her.",1937,94,"['crime', 'romance', 'drama', 'european']",7.7,6.095,HBO Max
Nanook of the North,MOVIE,"This pioneering documentary film depicts the lives of the indigenous Inuit people of Canada's northern Quebec region. Although the production contains some fictional elements, it vividly shows how its resourceful subjects survive in such a harsh climate, revealing how they construct their igloo homes and find food by hunting and fishing. The film also captures the beautiful, if unforgiving, frozen landscape of the Great White North, far removed from conventional civilization.",1922,79,"['action', 'documentation']",7.6,7.441,HBO Max
Paisan,MOVIE,"Six vignettes follow the Allied invasion from July 1943 to winter 1944, from Sicily north to Venice.",1946,125,"['drama', 'european', 'war']",7.6,6.975,HBO Max
So This Is Paris,MOVIE,"Paul and Suzanne Giraud are happily married and living in a quiet neighborhood. When Suzanne notices that their new neighbors are expressive dancers in revealing outfits, she demands Paul speak to them about their lack of morality. Paul discovers that the woman is Georgette Lalle, an old flame.",1926,70,['comedy'],7.1,2.57,HBO Max
Pandora's Box,MOVIE,"Lulu is a young woman so beautiful and alluring that few can resist her siren charms. The men drawn into her web include respectable newspaper publisher Dr. Ludwig Schön, his musical producer son Alwa, circus performer Rodrigo Quast and Lulu's seedy old friend, Schigolch. When Lulu's charms inevitably lead to tragedy, the downward spiral encompasses them all.",1929,109,"['romance', 'crime', 'european', 'drama']",7.8,10.967,HBO Max
Monsieur Verdoux,MOVIE,"The film is about an unemployed banker, Henri Verdoux, and his sociopathic methods of attaining income. While being both loyal and competent in his work, Verdoux has been laid-off. To make money for his wife and child, he marries wealthy widows and then murders them. His crime spree eventually works against him when two particular widows break his normal routine.",1947,124,"['comedy', 'crime', 'drama']",7.8,8.461,HBO Max
The Long Voyage Home,MOVIE,The crew of the merchant ship Glencairn hope to survive a transatlantic crossing during World War II. Adapted from four Eugene O'Neill one-act plays.,1940,105,"['drama', 'war']",6.9,7.47,HBO Max
The Freshman,MOVIE,"Harold Lamb is so excited about going to college that he has been working to earn spending money, practicing college yells, and learning a special way of introducing himself that he saw in a movie. When he arrives at Tate University, he soon becomes the target of practical jokes and ridicule. With the help of his one real friend Peggy, he resolves to make every possible effort to become popular.",1925,76,"['romance', 'comedy', 'family', 'sport']",7.5,5.172,HBO Max
